trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
488,False,"{'a': 0.002, 'e': 0.37756973457577797}",20,6,0.7223930209401825,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
489,False,"{'a': 0.002, 'e': 0.37681534974292086}",20,12,-37.05142641946098,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
490,False,"{'a': 0.002, 'e': 0.37606247217196515}",25,5,32.16906820120984,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
491,False,"{'a': 0.002, 'e': 0.37531109885139957}",25,0,0.6473813046717551,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
492,False,"{'a': 0.002, 'e': 0.3745612267757298}",20,5,-25.937139930497153,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
493,False,"{'a': 0.002, 'e': 0.3738128529454665}",30,15,-36.536551375242716,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
494,False,"{'a': 0.002, 'e': 0.3730659743671134}",25,11,-7.366830290268722,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
495,False,"{'a': 0.002, 'e': 0.3723205880531552}",30,11,2.1150185332519187,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
496,False,"{'a': 0.002, 'e': 0.3715766910220457}",30,4,-22.673899142586222,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 1}",1
497,False,"{'a': 0.002, 'e': 0.37083428029819565}",25,11,20.829284142438944,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
498,False,"{'a': 0.002, 'e': 0.37009335291196127}",30,16,-38.076522962460494,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
499,False,"{'a': 0.002, 'e': 0.369353905899632}",20,5,-50.543828893796125,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
500,False,"{'a': 0.002, 'e': 0.3686159363034188}",20,6,23.453713922401807,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
501,False,"{'a': 0.002, 'e': 0.36787944117144233}",20,7,12.241498997807474,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
502,False,"{'a': 0.002, 'e': 0.36714441755772104}",25,0,-14.732246859491486,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
503,False,"{'a': 0.002, 'e': 0.3664108625221595}",25,2,28.09850470268986,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.002, 'e': 0.36567877313053654}",25,0,11.017197199307763,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
505,False,"{'a': 0.002, 'e': 0.36494814645449375}",20,12,-8.852071975383376,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
506,False,"{'a': 0.002, 'e': 0.3642189795715233}",25,6,-70.81865299600734,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 1}",1
507,False,"{'a': 0.002, 'e': 0.3634912695649568}",20,12,12.716959376850216,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
508,False,"{'a': 0.002, 'e': 0.36276501352395324}",30,13,-47.598109749808984,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
509,False,"{'a': 0.002, 'e': 0.36204020854348745}",25,8,1.9488213162383237,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
510,False,"{'a': 0.002, 'e': 0.36131685172433853}",30,20,18.048577254401053,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.002, 'e': 0.3605949401730783}",25,16,15.568757113443676,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.002, 'e': 0.35987447100205955}",20,10,6.519194888944212,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
513,False,"{'a': 0.002, 'e': 0.3591554413294046}",20,0,-46.930265698450434,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
514,False,"{'a': 0.002, 'e': 0.3584378482789939}",25,11,-34.35990975390112,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
515,False,"{'a': 0.002, 'e': 0.3577216889804542}",20,0,-7.524934728244872,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
516,False,"{'a': 0.002, 'e': 0.3570069605691474}",30,0,-45.67931723463788,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
517,False,"{'a': 0.002, 'e': 0.3562936601861588}",20,10,-32.41360985814915,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
518,False,"{'a': 0.002, 'e': 0.35558178497828613}",20,0,19.926519007304087,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
519,False,"{'a': 0.002, 'e': 0.3548713320980274}",30,24,10.399808396098805,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.002, 'e': 0.35416229870357024}",25,9,5.44271547228218,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
521,False,"{'a': 0.002, 'e': 0.35345468195878016}",25,3,-45.60988332125978,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 0}",1
522,False,"{'a': 0.002, 'e': 0.3527484790331891}",20,13,13.477666821910534,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.002, 'e': 0.3520436871019846}",25,10,-34.040082533572,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
524,False,"{'a': 0.002, 'e': 0.3513403033459978}",20,10,19.091970751093115,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,False,"{'a': 0.002, 'e': 0.35063832495169295}",30,15,-76.83085655646654,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 2}",1
526,False,"{'a': 0.002, 'e': 0.3499377491111553}",20,0,-71.04134669032436,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
527,False,"{'a': 0.002, 'e': 0.3492385730220808}",20,0,16.108272860363517,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
528,False,"{'a': 0.002, 'e': 0.348540793887764}",20,13,11.660961245734516,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.002, 'e': 0.3478444089170874}",25,0,-5.26371998976191,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
530,False,"{'a': 0.002, 'e': 0.3471494153245103}",30,0,-4.6064584760599745,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
531,False,"{'a': 0.002, 'e': 0.3464558103300574}",30,19,17.894994124942986,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
532,False,"{'a': 0.002, 'e': 0.34576359115930777}",25,6,12.219324500240948,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
533,False,"{'a': 0.002, 'e': 0.34507275504338375}",20,0,-83.47086153979215,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
534,False,"{'a': 0.002, 'e': 0.34438329921894}",25,3,-40.589032274934176,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 0}",1
535,False,"{'a': 0.002, 'e': 0.34369522092815236}",25,7,28.86685763409175,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
536,False,"{'a': 0.002, 'e': 0.34300851741870664}",35,0,-69.81344243453715,"{0: 29, 1: 2, 2: 2, 3: 0, 4: 2}",0
537,False,"{'a': 0.002, 'e': 0.34232318594378797}",20,11,-8.259468611150133,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
538,False,"{'a': 0.002, 'e': 0.34163922376206945}",30,10,-16.494614657712596,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",1
539,False,"{'a': 0.002, 'e': 0.34095662813770156}",20,0,-16.687205954663572,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
540,False,"{'a': 0.002, 'e': 0.3402753963403008}",30,7,24.10413580444333,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
541,False,"{'a': 0.002, 'e': 0.3395955256449391}",25,13,-21.79489156657341,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
542,False,"{'a': 0.002, 'e': 0.3389170133321328}",25,0,-85.03874462883847,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
543,False,"{'a': 0.002, 'e': 0.3382398566878317}",30,4,29.798438314223716,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.002, 'e': 0.33756405300340836}",20,15,-4.0369129993820465,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
545,False,"{'a': 0.002, 'e': 0.33688959957564707}",25,6,22.119268684275465,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
546,False,"{'a': 0.002, 'e': 0.33621649370673334}",30,0,-83.63904591778349,"{0: 24, 1: 3, 2: 0, 3: 1, 4: 2}",0
547,False,"{'a': 0.002, 'e': 0.3355447327042427}",30,14,0.8266430872764972,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
548,False,"{'a': 0.002, 'e': 0.3348743138811302}",25,10,20.461916989202166,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.002, 'e': 0.33420523455571977}",25,20,9.203011882232353,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
550,False,"{'a': 0.002, 'e': 0.3335374920516932}",25,7,-73.06235234235079,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 1}",1
551,False,"{'a': 0.002, 'e': 0.33287108369807955}",25,11,22.641805210760815,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
